ticker,name,market,sector
298380,에이비엘바이오,KOSDAQ,Unknown
277810,레인보우로보틱스,KOSDAQ,Unknown
028300,HLB,KOSDAQ,Unknown
000250,삼천당제약,KOSDAQ,Unknown
950160,코오롱티슈진,KOSDAQ,Unknown
141080,리가켐바이오,KOSDAQ GLOBAL,Unknown
087010,펩트론,KOSDAQ,Unknown
058470,리노공업,KOSDAQ GLOBAL,Unknown
214450,파마리서치,KOSDAQ GLOBAL,Unknown
347850,디앤디파마텍,KOSDAQ,Unknown
214370,케어젠,KOSDAQ,Unknown
214150,클래시스,KOSDAQ GLOBAL,Unknown
240810,원익IPS,KOSDAQ GLOBAL,Unknown
108490,로보티즈,KOSDAQ,Unknown
039030,이오테크닉스,KOSDAQ GLOBAL,Unknown
310210,보로노이,KOSDAQ,Unknown
0009K0,에임드바이오,KOSDAQ,Unknown
030530,원익홀딩스,KOSDAQ,Unknown
319400,현대무벡스,KOSDAQ,Unknown
403870,HPSP,KOSDAQ GLOBAL,Unknown
145020,휴젤,KOSDAQ GLOBAL,Unknown
226950,올릭스,KOSDAQ,Unknown
140410,메지온,KOSDAQ,Unknown
068760,셀트리온제약,KOSDAQ,Unknown
475830,오름테라퓨틱,KOSDAQ,Unknown
257720,실리콘투,KOSDAQ,Unknown
041510,에스엠,KOSDAQ GLOBAL,Unknown
237690,에스티팜,KOSDAQ GLOBAL,Unknown
263750,펄어비스,KOSDAQ GLOBAL,Unknown
035900,JYP Ent.,KOSDAQ GLOBAL,Unknown
357780,솔브레인,KOSDAQ GLOBAL,Unknown
437730,삼현,KOSDAQ,Unknown
095340,ISC,KOSDAQ GLOBAL,Unknown
476830,알지노믹스,KOSDAQ,Unknown
005290,동진쎄미켐,KOSDAQ,Unknown
058610,에스피지,KOSDAQ,Unknown
098460,고영,KOSDAQ,Unknown
222800,심텍,KOSDAQ GLOBAL,Unknown
064760,티씨케이,KOSDAQ GLOBAL,Unknown
084370,유진테크,KOSDAQ,Unknown
067310,하나마이크론,KOSDAQ,Unknown
160190,하이젠알앤엠,KOSDAQ,Unknown
083650,비에이치아이,KOSDAQ,Unknown
089030,테크윙,KOSDAQ,Unknown
445680,큐리옥스바이오시스템즈,KOSDAQ,Unknown
039200,오스코텍,KOSDAQ,Unknown
140860,파크시스템스,KOSDAQ GLOBAL,Unknown
466100,클로봇,KOSDAQ,Unknown
458870,씨어스테크놀로지,KOSDAQ,Unknown
065350,신성델타테크,KOSDAQ,Unknown
178320,서진시스템,KOSDAQ,Unknown
090710,휴림로봇,KOSDAQ,Unknown
036930,주성엔지니어링,KOSDAQ GLOBAL,Unknown
060370,LS마린솔루션,KOSDAQ,Unknown
491000,리브스메드,KOSDAQ,Unknown
348370,엔켐,KOSDAQ,Unknown
290650,엘앤씨바이오,KOSDAQ,Unknown
035760,CJ ENM,KOSDAQ GLOBAL,Unknown
253450,스튜디오드래곤,KOSDAQ GLOBAL,Unknown
456160,지투지바이오,KOSDAQ,Unknown
195940,HK이노엔,KOSDAQ GLOBAL,Unknown
007390,네이처셀,KOSDAQ,Unknown
099320,쎄트렉아이,KOSDAQ,Unknown
122870,와이지엔터테인먼트,KOSDAQ,Unknown
293490,카카오게임즈,KOSDAQ GLOBAL,Unknown
101490,에스앤에스텍,KOSDAQ,Unknown
031980,피에스케이홀딩스,KOSDAQ,Unknown
096530,씨젠,KOSDAQ,Unknown
003380,하림지주,KOSDAQ GLOBAL,Unknown
