2026-01-15 20:19:23,864 - INFO - ==================================================
2026-01-15 20:19:23,866 - INFO - 일일 VCP 스캔 시작: 2026-01-15 20:19:23
2026-01-15 20:19:23,866 - INFO - ==================================================
2026-01-15 20:19:23,866 - INFO - 전체 KRX 종목 스캔 시작...
2026-01-15 20:19:23,866 - INFO - 🚀 Starting Real-Time Scan [Mode: vcp_flow]...
2026-01-15 20:19:28,212 - ERROR - Error for 140860: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:28,216 - ERROR - Error for 036930: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:28,234 - ERROR - Error for 290650: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:28,236 - ERROR - Error for 060370: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:28,302 - ERROR - Error for 195940: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:28,368 - ERROR - Error for 065350: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:28,438 - ERROR - Error for 007390: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:28,439 - ERROR - Error for 466100: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:28,441 - ERROR - Error for 397030: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:28,443 - ERROR - Error for 348370: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:28,445 - ERROR - Error for 253450: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:28,478 - ERROR - Error for 232140: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:28,479 - ERROR - Error for 293490: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:28,497 - ERROR - Error for 003380: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:28,517 - ERROR - Error for 122870: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:28,529 - ERROR - Error for 096530: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:28,535 - ERROR - Error for 319660: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:28,693 - ERROR - Error for 323280: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:28,727 - ERROR - Error for 099320: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:28,756 - ERROR - Error for 082270: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:28,762 - ERROR - Error for 101490: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:28,765 - ERROR - Error for 080220: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:28,765 - ERROR - Error for 376900: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:28,765 - ERROR - Error for 085660: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:28,765 - ERROR - Error for 389470: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:28,765 - ERROR - Error for 328130: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:28,765 - ERROR - Error for 204270: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:28,765 - ERROR - Error for 031980: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:28,766 - ERROR - Error for 115180: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:28,765 - ERROR - Error for 440110: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:28,802 - ERROR - Error for 486990: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:29,039 - ERROR - Error for 468530: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:29,064 - ERROR - Error for 218410: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:29,075 - ERROR - Error for 112040: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
